file,time,#nodes,pathlength,horizon,#moves,init_conflicts
benchmarkResults/ex/ex2/size8x8/density35/ex2.lp,3.8652436780103017,33,24,11,98,34
benchmarkResults/ex/ex2/size8x8/density35/ex3.lp,16.73205677799706,75,50,12,144,44
benchmarkResults/ex/ex2/size8x8/density35/ex4.lp,6.624281778000295,41,30,13,125,34
benchmarkResults/ex/ex2/size8x8/density35/ex5.lp,9.4971661449963,63,43,12,146,42
benchmarkResults/ex/ex2/size8x8/density35/ex6.lp,55.65563436599041,253,119,11,180,54
benchmarkResults/ex/ex2/size8x8/density35/ex7.lp,42.51820139600022,190,104,15,188,58
benchmarkResults/ex/ex2/size8x8/density35/ex8.lp,11.954673940999783,68,44,10,152,52
benchmarkResults/ex/ex2/size8x8/density35/ex9.lp,22.011155080996105,104,58,10,176,50
benchmarkResults/ex/ex2/size8x8/density40/ex1.lp,85.17890341099701,329,92,13,191,56
benchmarkResults/ex/ex2/size8x8/density40/ex10.lp,26.540654831012944,125,67,14,179,58
benchmarkResults/ex/ex2/size8x8/density40/ex2.lp,23.125639983991277,113,69,13,165,52
benchmarkResults/ex/ex2/size8x8/density40/ex3.lp,17.925974037993,88,72,12,176,84
benchmarkResults/ex/ex2/size8x8/density40/ex4.lp,34.60027374100173,170,104,13,205,68
benchmarkResults/ex/ex2/size8x8/density40/ex5.lp,28.952809214999434,137,77,11,166,86
benchmarkResults/ex/ex2/size8x8/density40/ex6.lp,25.429026805999456,126,74,13,174,66
benchmarkResults/ex/ex2/size8x8/density40/ex7.lp,136.18892331699317,550,195,15,238,76
benchmarkResults/ex/ex2/size8x8/density40/ex8.lp,39.03624519100413,189,119,14,214,70
benchmarkResults/ex/ex2/size8x8/density40/ex9.lp,58.50505520000297,272,107,14,211,78
